Athlete Name,Contingent,Home Town,Type Name,Sports Name
Laura Soper,Ontario,Mississauga,Athlete,Ringette
Abby Soyko,Saskatchewan,Princer Albert,Athlete,Hockey
Kaylee Spearing,Manitoba,Winnipeg,Athlete,Ringette
Alex Spence,Alberta,Lloydminster,Athlete,Hockey
Ainsley Gabrielle Spencer,British Columbia,Burnaby,Athlete,Speed Skating
Samantha Louise Spencer,British Columbia,Burnaby,Athlete,Speed Skating
Chace Sperling,Saskatchewan,"Theodore, SK",Athlete,Hockey
Emma Spott,Ontario,Toronto,Athlete,Artistic Swimming
Jacob Squires,Prince Edward Island,Charlottetown,Athlete,Hockey
Noah Squires,Newfoundland and Labrador,Portugal Cove-St. Philips,Athlete,Boxing
Claire St. Croix,Newfoundland and Labrador,Stephenville,Athlete,Biathlon
Keanan St. Rose,British Columbia,Prince George,Athlete,Speed Skating
Hanne Stadnyk,Saskatchewan,Saskatoon,Athlete,Biathlon
Logan H G Stankoven,British Columbia,Kamloops,Athlete,Hockey
Katie Elizabeth Stavert-Bernard,Prince Edward Island,Kensington,Athlete,Figure Skating
Laurence St-denis,Quebec,Ste-Marthe-sur-le-Lac,Athlete,Ringette
Danielle Marie Steadman,Prince Edward Island,St Peters,Athlete,Ringette
Kiara Stecko,British Columbia,Kelowna,Athlete,Hockey
Connor Steele,Nova Scotia,Lower Sackville,Athlete,Judo
Hannah Amelia Steele,Newfoundland and Labrador,Bay d’Espoir,Athlete,Badminton
Cole Steendam,Manitoba,"Dugald, MB",Athlete,Snowboard
Jordan Murray Allan Stephens,Nova Scotia,"Newport, NS",Athlete,Wheelchair Basketball
Justin Stephens,Nova Scotia,"Newport, NS",Athlete,Wheelchair Basketball
Vanessa Lynn Mae Stephens,Nova Scotia,"Newport, NS",Athlete,Wheelchair Basketball
Lori Steppler,Manitoba,"Miami, Manitoba",Athlete,Alpine Skiing
Brooklyn Stevely,Saskatchewan,Regina,Athlete,Hockey
Sydney Stevens,New Brunswick,Smithtown,Athlete,Gymnastics
Taylour Stevens,Nova Scotia,"Chester, Nova Scotia",Athlete,Curling
Anna Stewart,Ontario,Neebing,Athlete,Cross Country Skiing
Carla Stewart,Prince Edward Island,"Crapaud, Prince Edward Island",Athlete,Hockey
Heidi Stewart,Ontario,"Thunder Bay, Ontario",Athlete,Cross Country Skiing
Mia Rachel Stewart,Prince Edward Island,Stratford,Athlete,Speed Skating
Natalie Stewart,Ontario,"Toronto, Ontario",Athlete,Alpine Skiing
Sara Stiel,British Columbia,Mt Currie,Athlete,Alpine Skiing
Chase Stillman,Ontario,PETERBOROUGH,Athlete,Hockey
Kendall Stirrat,British Columbia,Vancouver,Athlete,Artistic Swimming
Samantha Stordy,New Brunswick,Moncton New Brunswick,Athlete,Squash
Abby Storey,New Brunswick,Fredericton,Athlete,Alpine Skiing
Anna Elizabeth Streeter,New Brunswick,Rothesay,Athlete,Artistic Swimming
Jared Striemer,Saskatchewan,Saskatoon SK,Athlete,Wheelchair Basketball
Ashley Stringer,Newfoundland and Labrador,"St. John's, Newfoundland",Athlete,Squash
Ben Stringer,Newfoundland and Labrador,Conception Bay South,Athlete,Curling
Zack Stringer,Alberta,"Lethbridge, AB",Athlete,Hockey
Joel Stroud,Newfoundland and Labrador,"Foxtrap, Conception Bay South NL",Athlete,Squash
Rosemary Stuart,Alberta,Calgary,Athlete,Artistic Swimming
Luke Sullivan,Nova Scotia,Hammonds Plains,Athlete,Speed Skating
Mike Sumner,Yukon,Whitehorse,Athlete,Figure Skating
Mika Sun,Ontario,Toronto,Athlete,Speed Skating
Jacob Jason Surette,Nova Scotia,Halifax,Athlete,Freestyle Skiing
Ethan Thomas Sutherland,Saskatchewan,Regina,Athlete,Squash
Laine Sutherland,New Brunswick,Fredericton,Athlete,Alpine Skiing
Ainsley Svetek,Ontario,Burlington,Athlete,Hockey
Graham Sward,British Columbia,Abbotsford,Athlete,Hockey
Kiana Sweet,Alberta,Calgary,Athlete,Artistic Swimming
Blake Swetlikoff,Saskatchewan,Regina,Athlete,Hockey
Caius Shepherd Taggart-Cox,Yukon,Marsh Lake,Athlete,Speed Skating
Micah Taggart-Cox,Yukon,Marsh Lake,Athlete,Speed Skating
Casey Tai,Northwest Territories,Halifax,Athlete,Badminton
Hailey Takasaki,British Columbia,Richmond,Athlete,Ringette
Benjamin Talbot,New Brunswick,"Quispamsis, NB",Athlete,Gymnastics
McKinley Talbot,Northwest Territories,Yellowknife,Athlete,Hockey
Patrick Talbot,New Brunswick,"Quispamsis, NB",Athlete,Gymnastics
Olivia Talen,Northwest Territories,Yellowknife,Athlete,Squash
Madi Taljaard,Nova Scotia,Fall River,Athlete,Biathlon
Grace Tam,Saskatchewan,Saskatoon,Athlete,Hockey
Kenji Tamane,Ontario,Toronto,Athlete,Gymnastics
Seiya Christopher Tanaka-Campbell,British Columbia,Mill Bay,Athlete,Hockey
Sasha Tanasiuk,Alberta,St. Albert,Athlete,Judo
James Tang,New Brunswick,Fredericton,Athlete,Badminton
Rosemarie Tanguay,Quebec,Saint-Odilon,Athlete,Snowboard
Danny Tanner,Alberta,Calgary,Athlete,Freestyle Skiing
Marc Tanner,Alberta,,Athlete,Freestyle Skiing
Sierra Tanner,Nova Scotia,halifax nova scotia,Athlete,Judo
Madison Tansowny,Alberta,Calgary,Athlete,Gymnastics
Tiffany Tantakoun,Manitoba,Winnipeg,Athlete,Badminton
Reese Tarasoff,British Columbia,West Kelowna,Athlete,Snowboard
Austin Taylor,Manitoba,winnipeg,Athlete,Archery
Kenzie Taylor,Ontario,MILTON,Athlete,Ringette
Melanie Taylor,Newfoundland and Labrador,Conception Bay South,Athlete,Figure Skating
Tristan Taylor,Saskatchewan,Wolseley,Athlete,Figure Skating
Josh Telizyn,British Columbia,"Fort St John,BC",Athlete,Speed Skating
Nicole Temple,Alberta,,Athlete,Squash
Liam Tereposky,Northwest Territories,Yellowknife,Athlete,Hockey
Ema Tesanovic,Alberta,Calgary,Athlete,Judo
Rachel Teslak,British Columbia,Cranbrook,Athlete,Hockey
Elodie Tessier,Quebec,,Athlete,Wheelchair Basketball
Félix Tessier,Manitoba,Winnipeg,Athlete,Badminton
Léa Tessier,Quebec,Blainville,Athlete,Speed Skating
Brooklyn Tews,Alberta,Beaverlodge,Athlete,Hockey
Anne-Catherine Théberge,Quebec,Québec,Athlete,Alpine Skiing
Edouard Thérriault,Quebec,Lorraine,Athlete,Freestyle Skiing
Thomas Thevenot,Manitoba,Stonewall,Athlete,Wheelchair Basketball
Zoé Thibault,Quebec,Sherbrooke,Athlete,Hockey
Quentin Thieren,Quebec,"Ixelles, Belgique",Athlete,Figure Skating
Rebecca Thiessen,Manitoba,"Morris, MB",Athlete,Hockey
Katie Thistle,Newfoundland and Labrador,Corner Brook,Athlete,Biathlon
Alicia Thomas,Prince Edward Island,,Athlete,Judo
Nahshon James Thomas,Nunavut,,Athlete,Hockey
Neithan Thomas,Alberta,Edmonton,Athlete,Speed Skating
Sarah Thomas,Ontario,"Whitby, Ontario",Athlete,Figure Skating
Carly Elizabeth Thompson,Prince Edward Island,"North River, Prince Edward Island",Athlete,Hockey
Elijah Thompson,Alberta,Calgary,Athlete,Gymnastics
Malcolm Thompson,Ontario,Parry Sound,Athlete,Cross Country Skiing
Amanda Thomson,Yukon,Whitehorse,Athlete,Cross Country Skiing
Julianna Thomson,Manitoba,Winnipeg,Athlete,Hockey
James Steven Thorne,Newfoundland and Labrador,"Paradise, Newfoundland",Athlete,Boxing
Mallory Thornhill,Nova Scotia,"Cole Harbour, Nova Scotia",Athlete,Hockey
Hudson Thornton,Manitoba,Winnipeg,Athlete,Hockey
Anwyn Tillett,Nova Scotia,"Halifax, Nova Scotia",Athlete,Freestyle Skiing
Cydnie Timmermann,Alberta,Calgary,Athlete,Alpine Skiing
Jonny Timmons,Yukon,"Whitehorse, yukon",Athlete,Hockey
Dovar Tinling,Quebec,Pointe-Claire,Athlete,Hockey
Emily Todd,Nova Scotia,Halifax,Athlete,Alpine Skiing
Kassidy Todd,British Columbia,Keremeos,Athlete,Freestyle Skiing
